"item_id","tag_id","itemtotag_timestamp"
1,1,"2011-08-30 14:16:15"
1,2,"2011-08-30 14:16:15"
1,3,"2011-08-30 14:16:15"
1,4,"2011-08-30 14:16:15"
1,5,"2011-08-30 14:16:15"
2,1,"2011-08-30 14:16:15"
2,2,"2011-08-30 14:16:15"
2,3,"2011-08-30 14:16:15"
2,6,"2011-08-30 14:16:15"
2,7,"2011-08-30 14:16:15"
3,1,"2011-08-30 14:16:15"
3,2,"2011-08-30 14:16:15"
3,3,"2011-08-30 14:16:15"
3,5,"2011-08-30 14:16:15"
3,8,"2011-08-30 14:16:15"
4,1,"2011-08-30 14:16:15"
4,2,"2011-08-30 14:16:15"
4,3,"2011-08-30 14:16:15"
4,5,"2011-08-30 14:16:15"
4,9,"2011-08-30 14:16:15"
5,1,"2011-08-30 14:16:15"
5,2,"2011-08-30 14:16:15"
5,3,"2011-08-30 14:16:15"
5,5,"2011-08-30 14:16:15"
5,10,"2011-08-30 14:16:15"
6,1,"2011-08-30 14:16:15"
6,2,"2011-08-30 14:16:15"
6,3,"2011-08-30 14:16:15"
6,5,"2011-08-30 14:16:15"
6,11,"2011-08-30 14:16:15"
7,1,"2011-08-30 14:16:15"
7,2,"2011-08-30 14:16:15"
7,3,"2011-08-30 14:16:15"
7,5,"2011-08-30 14:16:15"
7,12,"2011-08-30 14:16:15"
8,1,"2011-08-30 14:16:15"
8,2,"2011-08-30 14:16:15"
8,3,"2011-08-30 14:16:15"
8,5,"2011-08-30 14:16:15"
8,13,"2011-08-30 14:16:15"
9,1,"2011-08-30 14:16:15"
9,2,"2011-08-30 14:16:15"
9,3,"2011-08-30 14:16:15"
9,5,"2011-08-30 14:16:15"
9,14,"2011-08-30 14:16:15"
10,1,"2011-08-30 14:16:15"
10,2,"2011-08-30 14:16:15"
10,3,"2011-08-30 14:16:15"
10,5,"2011-08-30 14:16:15"
10,91,"2012-12-27 11:36:16"
11,1,"2011-08-30 14:16:15"
11,2,"2011-08-30 14:16:15"
11,3,"2011-08-30 14:16:15"
11,5,"2011-08-30 14:16:15"
11,91,"2012-12-27 11:41:38"
12,1,"2011-08-30 14:16:15"
12,2,"2011-08-30 14:16:15"
12,3,"2011-08-30 14:16:15"
12,5,"2011-08-30 14:16:15"
12,17,"2011-08-30 14:16:15"
13,1,"2011-08-30 14:16:15"
13,2,"2011-08-30 14:16:15"
13,3,"2011-08-30 14:16:15"
13,5,"2011-08-30 14:16:15"
13,18,"2011-08-30 14:16:15"
14,1,"2011-08-30 14:16:15"
14,2,"2011-08-30 14:16:15"
14,3,"2011-08-30 14:16:15"
14,5,"2011-08-30 14:16:15"
14,19,"2011-08-30 14:16:15"
15,1,"2011-08-30 14:16:15"
15,2,"2011-08-30 14:16:15"
15,3,"2011-08-30 14:16:15"
15,5,"2011-08-30 14:16:15"
15,20,"2011-08-30 14:16:15"
16,1,"2011-08-30 14:16:15"
16,2,"2011-08-30 14:16:15"
16,3,"2011-08-30 14:16:15"
16,5,"2011-08-30 14:16:15"
16,21,"2011-08-30 14:16:15"
17,1,"2011-08-30 14:16:15"
17,2,"2011-08-30 14:16:15"
17,3,"2011-08-30 14:16:15"
17,5,"2011-08-30 14:16:15"
17,22,"2011-08-30 14:16:15"
18,1,"2011-08-30 14:16:15"
18,2,"2011-08-30 14:16:15"
18,3,"2011-08-30 14:16:15"
18,5,"2011-08-30 14:16:15"
18,23,"2011-08-30 14:16:15"
19,1,"2011-08-30 14:16:15"
19,2,"2011-08-30 14:16:15"
19,3,"2011-08-30 14:16:15"
19,5,"2011-08-30 14:16:15"
19,24,"2011-08-30 14:16:15"
20,1,"2011-08-30 14:16:15"
20,2,"2011-08-30 14:16:15"
20,3,"2011-08-30 14:16:15"
20,5,"2011-08-30 14:16:15"
20,25,"2011-08-30 14:16:15"
21,1,"2011-08-30 14:16:15"
21,2,"2011-08-30 14:16:15"
21,3,"2011-08-30 14:16:15"
21,5,"2011-08-30 14:16:15"
21,26,"2011-08-30 14:16:15"
22,1,"2011-08-30 14:16:15"
22,2,"2011-08-30 14:16:15"
22,3,"2011-08-30 14:16:15"
22,5,"2011-08-30 14:16:15"
22,27,"2011-08-30 14:16:15"
23,1,"2011-08-30 14:16:15"
23,2,"2011-08-30 14:16:15"
23,3,"2011-08-30 14:16:15"
23,5,"2011-08-30 14:16:15"
23,28,"2011-08-30 14:16:15"
24,1,"2011-08-30 14:16:15"
24,2,"2011-08-30 14:16:15"
24,3,"2011-08-30 14:16:15"
24,5,"2011-08-30 14:16:15"
24,29,"2011-08-30 14:16:15"
25,1,"2011-08-30 14:16:15"
25,2,"2011-08-30 14:16:15"
25,3,"2011-08-30 14:16:15"
25,5,"2011-08-30 14:16:15"
25,30,"2011-08-30 14:16:15"
26,1,"2011-08-30 14:16:15"
26,2,"2011-08-30 14:16:15"
26,3,"2011-08-30 14:16:15"
26,5,"2011-08-30 14:16:15"
26,31,"2011-08-30 14:16:15"
27,1,"2011-08-30 14:16:15"
27,2,"2011-08-30 14:16:15"
27,3,"2011-08-30 14:16:15"
27,5,"2011-08-30 14:16:15"
27,32,"2011-08-30 14:16:15"
28,1,"2011-08-30 14:16:15"
28,2,"2011-08-30 14:16:15"
